Code de l'aliment; Nom de l'aliment
s68;melon vert;
s56;cardamome;
s55;cardamome en poudre;
s71;canneberge;
s41;noisettes concassées;
s40;poudre de noisette;
s82;cerneaux de noix;
s81;noix décortiquées;
s83;noix hachées;
s70;noix de Macadamia décortiquées;
s29;noix de coco rapée;
s30;poudre de noix de coco;
s207;oeuf entier liquide;
s62;oignon rouge;
s63;échalotte;
s60;oignon frais;
s59;oignon nouveau;
s61;échalotte nouvelle;
s73;olive noire;
s72;olive verte;
s32;pomelos;
s28;piment en poudre;
s27;piment frais;
s25;poivron rouge;
s26;poivron vert;
s194;coquillettes;
s199;farfalles;
s196;macaronis;
s197;pâtes à lasagnes;
s195;spaghettis;
s198;tortillons;
s200;coquillettes 1/2 complètes;
s205;farfalles 1/2 complètes;
s202;macaronis 1/2 complètes;
s203;pâtes à lasagnes 1/2 complètes;
s201;spaghettis 1/2 complètes;
s204;tortillons 1/2 complètes;
s154;andouille;
s156;andouillette;
s155;boudin noir;
s152;pâté;
s153;rillettes;
s64;brugnon;
s65;nectarine;
s33;raisin blanc;
s34;raisin noir;
s35;raisin rouge;
s175;rôti de boeuf;
s176;steack (boeuf) ;
s166;carré de porc;
s167;côte de porc;
s165;filet de porc;
s164;roti de porc;
s168;sauté de porc;
s50;batavia;
s52;chicorée;
s53;feuille de chêne;
s49;laitue;
s51;scarole;
s177;steack hâché (boeuf);
s163;bacon;
s159;jambon cru;
s161;jambon cuit;
s160;jambon fumé;
s158;jambon sec;
s162;salami;
s157;saucisson;
s174;viande des grisons (boeuf);
s190;vinaigre;
